code,name,final_value,total_return_pct,sharpe_ratio,max_drawdown_pct,annual_return_pct,total_trades,win_count,lose_count,win_rate_pct,buy_signals,sell_signals,avg_hold_days,best_trade_pct,worst_trade_pct,signal_distribution,data_start,data_end,data_bars,error
sh.600026,,65810.23,-34.19,-0.719,45.75,-41.84,145,59,86,40.7,148,145,6.1,13.4,-10.27,"{'见好就收': 129, '一箭穿心': 10, '止损': 8, '节外生枝': 24, '落井下石': 36, '过河拆桥': 13, '动量加速': 21, '马失前蹄': 15, '一剑封喉': 6, '黑客点击': 8, '日月合璧': 2, '一阴破三线': 10, '浪子回头': 1, '三军集结': 2, '独上高楼': 4, '双蹄并进': 3, '金屋藏娇': 1}",2023-01-03,2026-08-12,874,
sh.600027,,90762.81,-9.24,-0.202,35.19,-9.69,120,51,69,42.5,121,120,8.4,21.16,-11.8,"{'见好就收': 99, '一箭穿心': 11, '节外生枝': 18, '一剑封喉': 6, '马失前蹄': 13, '止损': 4, '过河拆桥': 16, '三军集结': 6, '落井下石': 24, '一阴破三线': 15, '黑客点击': 14, '独上高楼': 9, '动量加速': 1, '日月合璧': 3, '红杏出墙': 1, '止盈': 1}",2023-01-03,2026-08-12,864,
sh.600028,,67788.16,-32.21,-0.678,42.33,-38.88,105,40,65,38.1,106,105,9.6,13.72,-9.74,"{'动量加速': 6, '见好就收': 75, '串阳': 1, '过河拆桥': 18, '节外生枝': 12, '一箭穿心': 8, '一阴破三线': 13, '落井下石': 26, '黑客点击': 22, '马失前蹄': 12, '日月合璧': 1, '三军集结': 3, '一剑封喉': 5, '浪子回头': 2, '独上高楼': 4, '红杏出墙': 2, '止损': 1}",2023-01-03,2026-08-12,874,
sh.600029,,66697.63,-33.3,-0.547,45.58,-40.5,117,42,75,35.9,118,117,8.3,36.53,-9.01,"{'见好就收': 89, '节外生枝': 22, '红杏出墙': 4, '过河拆桥': 12, '一箭穿心': 5, '落井下石': 33, '日月合璧': 1, '一阴破三线': 7, '马失前蹄': 16, '黑客点击': 17, '三军集结': 3, '独上高楼': 9, '浪子回头': 2, '一剑封喉': 6, '分道扬镳': 1, '止盈': 1, '止损': 2, '金屋藏娇': 2, '动量加速': 3}",2023-01-03,2026-08-12,874,
sh.600030,,127156.19,27.16,0.62,24.6,24.02,107,41,66,38.3,109,107,9.1,37.76,-9.96,"{'见好就收': 85, '一剑封喉': 11, '马失前蹄': 12, '过河拆桥': 11, '一箭穿心': 6, '独上高楼': 11, '落井下石': 23, '止盈': 2, '动量加速': 9, '红杏出墙': 2, '一阴破三线': 7, '黑客点击': 20, '节外生枝': 12, '止损': 1, '三军集结': 4}",2023-01-03,2026-08-12,874,
sh.600031,,111877.81,11.88,0.07,28.06,11.22,119,46,73,38.7,120,119,8.6,36.34,-9.89,"{'见好就收': 108, '节外生枝': 21, '一阴破三线': 17, '红杏出墙': 5, '落井下石': 32, '马失前蹄': 9, '一剑封喉': 5, '过河拆桥': 14, '一箭穿心': 9, '黑客点击': 7, '三军集结': 2, '动量加速': 3, '独上高楼': 3, '浪子回头': 1, '止盈': 1, '串阳': 1, '止损': 1}",2023-01-03,2026-08-12,874,
sh.600036,,107247.51,7.25,0.026,33.59,7.0,113,39,74,34.5,115,114,8.7,17.61,-6.69,"{'见好就收': 83, '落井下石': 34, '一阴破三线': 14, '马失前蹄': 13, '三军集结': 7, '节外生枝': 7, '一剑封喉': 9, '过河拆桥': 17, '一箭穿心': 9, '黑客点击': 21, '红杏出墙': 2, '分道扬镳': 2, '独上高楼': 5, '双蹄并进': 1, '浪子回头': 2, '动量加速': 3}",2023-01-03,2026-08-12,874,
sh.600039,,81983.91,-18.02,-0.184,40.64,-19.86,111,42,69,37.8,113,111,8.6,19.86,-17.21,"{'见好就收': 91, '动量加速': 5, '过河拆桥': 17, '黑客点击': 20, '一箭穿心': 6, '一阴破三线': 10, '一剑封喉': 10, '独上高楼': 6, '落井下石': 32, '马失前蹄': 7, '金屋藏娇': 2, '节外生枝': 12, '止损': 3, '红杏出墙': 1, '三军集结': 2}",2023-01-03,2026-08-12,874,
sh.600048,,42010.02,-57.99,-1.204,63.31,-86.73,147,46,101,31.3,149,147,5.9,33.63,-9.94,"{'见好就收': 126, '一阴破三线': 18, '节外生枝': 21, '过河拆桥': 7, '一箭穿心': 10, '落井下石': 54, '量能突破': 1, '黑客点击': 21, '马失前蹄': 11, '独上高楼': 6, '止损': 6, '一剑封喉': 5, '动量加速': 6, '止盈': 1, '金屋藏娇': 2, '三军集结': 1}",2023-01-03,2026-08-12,874,
sh.600050,,113951.89,13.95,0.094,27.54,13.06,119,48,71,40.3,120,119,8.6,27.37,-7.25,"{'见好就收': 88, '节外生枝': 14, '马失前蹄': 13, '一箭穿心': 10, '黑客点击': 27, '一阴破三线': 8, '落井下石': 37, '金屋藏娇': 1, '独上高楼': 10, '一剑封喉': 4, '浪子回头': 2, '分道扬镳': 2, '三军集结': 3, '过河拆桥': 16, '止盈': 2, '动量加速': 2}",2023-01-03,2026-08-12,874,
sh.600061,,100377.13,0.38,-0.124,34.16,0.38,104,39,65,37.5,105,104,10.0,22.29,-8.21,"{'黑客点击': 22, '马失前蹄': 19, '见好就收': 79, '一枝独秀': 1, '独上高楼': 11, '一箭穿心': 9, '落井下石': 33, '过河拆桥': 6, '节外生枝': 6, '止损': 1, '一阴破三线': 8, '日月合璧': 1, '止盈': 1, '动量加速': 7, '红杏出墙': 1, '三军集结': 3, '浪子回头': 1}",2023-01-03,2026-08-12,874,
sh.600066,,185922.41,85.92,0.741,30.17,62.02,131,63,68,48.1,132,131,6.8,21.32,-8.59,"{'动量加速': 33, '见好就收': 112, '串阳': 3, '过河拆桥': 14, '节外生枝': 27, '一剑封喉': 5, '马失前蹄': 12, '止损': 3, '落井下石': 12, '一阴破三线': 10, '黑客点击': 15, '一箭穿心': 7, '日月合璧': 1, '三军集结': 3, '红杏出墙': 1, '双蹄并进': 1, '独上高楼': 2, '浪子回头': 1, '止盈': 1}",2023-01-03,2026-08-12,873,
sh.600085,,51013.41,-48.99,-1.36,62.04,-67.31,147,44,103,29.9,149,148,6.6,20.78,-14.45,"{'见好就收': 120, '节外生枝': 21, '过河拆桥': 11, '动量加速': 3, '马失前蹄': 14, '一箭穿心': 6, '三军集结': 3, '一阴破三线': 10, '落井下石': 58, '独上高楼': 11, '一剑封喉': 10, '黑客点击': 24, '止损': 2, '双蹄并进': 1, '红杏出墙': 1, '金屋藏娇': 2}",2023-01-03,2026-08-12,874,
sh.600089,,82320.31,-17.68,-0.44,44.19,-19.46,118,42,76,35.6,119,118,7.9,34.66,-8.42,"{'见好就收': 103, '过河拆桥': 10, '浪子回头': 1, '节外生枝': 14, '黑客点击': 11, '一箭穿心': 7, '马失前蹄': 15, '落井下石': 31, '三军集结': 4, '一阴破三线': 7, '独上高楼': 8, '止损': 2, '止盈': 3, '一剑封喉': 2, '日月合璧': 2, '动量加速': 14, '红杏出墙': 2, '金屋藏娇': 1}",2023-01-03,2026-08-12,874,
sh.600104,,61751.71,-38.25,-1.792,45.72,-48.2,120,39,81,32.5,122,120,8.2,28.48,-8.88,"{'见好就收': 96, '落井下石': 40, '马失前蹄': 15, '黑客点击': 19, '节外生枝': 10, '过河拆桥': 10, '一剑封喉': 8, '一阴破三线': 12, '红杏出墙': 5, '一箭穿心': 4, '独上高楼': 7, '止损': 4, '三军集结': 2, '止盈': 1, '动量加速': 7, '浪子回头': 2}",2023-01-03,2026-08-12,874,
sh.600111,,99034.17,-0.97,-0.03,40.99,-0.97,140,50,90,35.7,141,140,6.4,38.71,-13.93,"{'见好就收': 126, '一阴破三线': 10, '落井下石': 39, '马失前蹄': 16, '节外生枝': 18, '过河拆桥': 6, '一剑封喉': 9, '黑客点击': 11, '一箭穿心': 5, '独上高楼': 6, '止盈': 4, '止损': 8, '分道扬镳': 1, '三军集结': 2, '动量加速': 12, '红杏出墙': 3, '金屋藏娇': 1, '浪子回头': 2, '双蹄并进': 2}",2023-01-03,2026-08-12,874,
sh.600115,,75736.96,-24.26,-0.203,40.63,-27.79,127,51,76,40.2,128,127,7.6,17.74,-8.99,"{'见好就收': 109, '节外生枝': 17, '黑客点击': 16, '马失前蹄': 14, '落井下石': 46, '独上高楼': 9, '一阴破三线': 9, '三军集结': 4, '一箭穿心': 7, '过河拆桥': 8, '一剑封喉': 2, '分道扬镳': 1, '动量加速': 9, '金屋藏娇': 1, '双蹄并进': 1, '止损': 1, '浪子回头': 1}",2023-01-03,2026-08-12,874,
